data_format,development_key,status,year_completed,clue_small_area,clue_block,street_address,property_id,property_id_2,property_id_3,property_id_4,property_id_5,floors_above,resi_dwellings,studio_dwe,one_bdrm_dwe,two_bdrm_dwe,three_bdrm_dwe,student_apartments,student_beds,student_accommodation_units,institutional_accom_beds,hotel_rooms,serviced_apartments,hotels_serviced_apartments,hostel_beds,childcare_places,office_flr,retail_flr,industrial_flr,storage_flr,education_flr,hospital_flr,recreation_flr,publicdispaly_flr,community_flr,car_spaces,bike_spaces,town_planning_application,longitude,latitude,geopoint
Pre May 16,X000140,COMPLETED,2011,Melbourne (CBD),56,Target Centre 222-244 Bourke Street MELBOURNE VIC 3000,101200,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8563,0,0,0,0,0,0,0,144.9662781,-37.81273571,"{'lon': 144.9662781, 'lat': -37.81273571}"
Pre May 16,X000139,COMPLETED,2010,Melbourne (CBD),56,206-218 Bourke Street MELBOURNE VIC 3000,101202,,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4500,9000,0,0,1570,0,552,0,0,0,0,0,144.9668682,-37.81267467,"{'lon': 144.9668682, 'lat': -37.81267467}"
Pre May 16,X000393,COMPLETED,2006,Carlton,257,139-143 Bouverie Street CARLTON VIC 3053,101248,,,,,9,0,0,0,0,0,93,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9616992,-37.80322394,"{'lon': 144.9616992, 'lat': -37.80322394}"
Pre May 16,X000455,COMPLETED,2011,North Melbourne,318,Ukrainian Catholic Church 35-37 Canning Street NORTH MELBOURNE VIC 3051,101359,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,144.9441003,-37.79644747,"{'lon': 144.9441003, 'lat': -37.79644747}"
Pre May 16,X000514,COMPLETED,2012,North Melbourne,365,182-194 Capel Street NORTH MELBOURNE VIC 3051,101540,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,144.955907,-37.803162,"{'lon': 144.955907, 'lat': -37.803162}"
Pre May 16,X000502,COMPLETED,2009,North Melbourne,358,108-112 Capel Street NORTH MELBOURNE VIC 3051,101560,,,,,4,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9555006,-37.80541077,"{'lon': 144.9555006, 'lat': -37.80541077}"
Pre May 16,X000689,COMPLETED,2010,East Melbourne,615,126-158 Clarendon Street EAST MELBOURNE VIC 3002,102007,,,,,11,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9841024,-37.812282,"{'lon': 144.9841024, 'lat': -37.812282}"
Pre May 16,X000436,COMPLETED,2012,Parkville,271,Queen's College 1-17 College Crescent PARKVILLE VIC 3052,102050,,,,,4,0,0,0,0,0,43,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9631654,-37.79341349,"{'lon': 144.9631654, 'lat': -37.79341349}"
Pre May 16,X000440,COMPLETED,2007,Parkville,271,Trinity College 100 Royal Parade PARKVILLE VIC 3052,102054,,,,,4,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9594147,-37.79514063,"{'lon': 144.9594147, 'lat': -37.79514063}"
Pre May 16,X000060,COMPLETED,2013,Melbourne (CBD),26,167-173 Collins Street MELBOURNE VIC 3000,102074,,,,,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31394,1600,0,0,0,0,0,0,0,136,0,0,144.9683148,-37.81566141,"{'lon': 144.9683148, 'lat': -37.81566141}"
Pre May 16,X000055,COMPLETED,2012,Melbourne (CBD),24,351-357 Collins Street MELBOURNE VIC 3000,102091,,,,,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30000,1800,0,0,0,0,0,0,0,40,0,0,144.9627882,-37.8172905,"{'lon': 144.9627882, 'lat': -37.8172905}"
Pre May 16,X000070,COMPLETED,2002,Melbourne (CBD),31,Liberty Tower 612-624 Collins Street MELBOURNE VIC 3000,102109,,,,,28,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,144.9543508,-37.81867521,"{'lon': 144.9543508, 'lat': -37.81867521}"
Pre May 16,X000073,COMPLETED,2005,Melbourne (CBD),32,480-490 Collins Street MELBOURNE VIC 3000,102118,,,,,21,29,0,0,0,0,0,0,0,0,0,260,260,0,0,1470,259,0,0,0,0,0,0,0,0,0,0,144.9579658,-37.81764139,"{'lon': 144.9579658, 'lat': -37.81764139}"
Pre May 16,X000667,COMPLETED,2005,Kensington,520,56-68 Derby Street KENSINGTON VIC 3031,102489,,,,,6,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9274052,-37.79757493,"{'lon': 144.9274052, 'lat': -37.79757493}"
Pre May 16,X000355,COMPLETED,2009,Carlton,219,Rosso Apartments 262-276 Drummond Street CARLTON VIC 3053,102731,,,,,4,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9688791,-37.79976069,"{'lon': 144.9688791, 'lat': -37.79976069}"
Pre May 16,X000611,COMPLETED,2011,West Melbourne (Residential),443,100-154 Batman Street WEST MELBOURNE VIC 3003,102953,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10390,0,0,0,0,0,0,0,0,0,0,0,144.9489427,-37.81101185,"{'lon': 144.9489427, 'lat': -37.81101185}"
Pre May 16,X000340,COMPLETED,2006,Carlton,208,216-228 Elgin Street CARLTON VIC 3053,103128,,,,,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9668804,-37.79673722,"{'lon': 144.9668804, 'lat': -37.79673722}"
Pre May 16,X000350,COMPLETED,2011,Carlton,214,168-174 Elgin Street CARLTON VIC 3053,103140,,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9687787,-37.79708912,"{'lon': 144.9687787, 'lat': -37.79708912}"
Pre May 16,X000294,COMPLETED,2007,Melbourne (CBD),104,453-459 Elizabeth Street MELBOURNE VIC 3000,103229,,,,,12,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,144.960166,-37.80845865,"{'lon': 144.960166, 'lat': -37.80845865}"
Pre May 16,X000958,COMPLETED,2015,Parkville,919,Victorian Comprehensive Cancer Centre 301-327 Grattan Street MELBOURNE VIC 3000,103256,,,,,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000,94402,0,0,0,0,0,0,144.9566698,-37.80019271,"{'lon': 144.9566698, 'lat': -37.80019271}"
Pre May 16,X000401,COMPLETED,2010,Carlton,260,660-674 Elizabeth Street MELBOURNE VIC 3000,103268,,,,,10,0,0,0,0,0,0,0,0,191,0,0,0,0,0,1088,0,0,0,0,0,0,0,0,0,0,0,144.9584959,-37.80279165,"{'lon': 144.9584959, 'lat': -37.80279165}"
Pre May 16,X000400,COMPLETED,2011,Carlton,260,Elan Apartments 634-640 Elizabeth Street MELBOURNE VIC 3000,103275,,,,,11,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9587732,-37.80338509,"{'lon': 144.9587732, 'lat': -37.80338509}"
Pre May 16,X000295,COMPLETED,2014,Melbourne (CBD),105,410-420 Elizabeth Street MELBOURNE VIC 3000,103303,,,,,55,487,0,189,288,10,0,0,0,0,0,0,0,0,0,0,260,0,0,0,0,0,0,0,137,202,0,144.961157,-37.80894871,"{'lon': 144.961157, 'lat': -37.80894871}"
