census_year,clue_small_area,total
2014-01-01T00:00:00+00:00,Port Melbourne,31
2014-01-01T00:00:00+00:00,South Yarra,17
2014-01-01T00:00:00+00:00,Southbank,224
2014-01-01T00:00:00+00:00,West Melbourne (Industrial),11
2014-01-01T00:00:00+00:00,West Melbourne (Residential),90
2015-01-01T00:00:00+00:00,Carlton,363
2015-01-01T00:00:00+00:00,Docklands,308
2015-01-01T00:00:00+00:00,East Melbourne,80
2015-01-01T00:00:00+00:00,Kensington,67
2015-01-01T00:00:00+00:00,Melbourne (CBD),1934
2015-01-01T00:00:00+00:00,Melbourne (Remainder),88
2015-01-01T00:00:00+00:00,North Melbourne,150
2015-01-01T00:00:00+00:00,Parkville,65
2015-01-01T00:00:00+00:00,Port Melbourne,32
2015-01-01T00:00:00+00:00,South Yarra,18
2015-01-01T00:00:00+00:00,Southbank,241
2015-01-01T00:00:00+00:00,West Melbourne (Industrial),11
2015-01-01T00:00:00+00:00,West Melbourne (Residential),90
2016-01-01T00:00:00+00:00,Carlton,399
2016-01-01T00:00:00+00:00,Docklands,347
2016-01-01T00:00:00+00:00,East Melbourne,84
2016-01-01T00:00:00+00:00,Kensington,67
2016-01-01T00:00:00+00:00,Melbourne (CBD),1962
2016-01-01T00:00:00+00:00,Melbourne (Remainder),88
2016-01-01T00:00:00+00:00,North Melbourne,161
2016-01-01T00:00:00+00:00,Parkville,73
2016-01-01T00:00:00+00:00,Port Melbourne,32
2016-01-01T00:00:00+00:00,South Yarra,18
2016-01-01T00:00:00+00:00,Southbank,241
2016-01-01T00:00:00+00:00,West Melbourne (Industrial),6
2016-01-01T00:00:00+00:00,West Melbourne (Residential),82
2017-01-01T00:00:00+00:00,Carlton,399
2017-01-01T00:00:00+00:00,Docklands,347
2017-01-01T00:00:00+00:00,East Melbourne,84
2017-01-01T00:00:00+00:00,Kensington,68
2017-01-01T00:00:00+00:00,Melbourne (CBD),1973
2017-01-01T00:00:00+00:00,Melbourne (Remainder),82
2017-01-01T00:00:00+00:00,North Melbourne,161
2017-01-01T00:00:00+00:00,Parkville,73
2017-01-01T00:00:00+00:00,Port Melbourne,36
2017-01-01T00:00:00+00:00,South Yarra,16
2017-01-01T00:00:00+00:00,Southbank,242
2017-01-01T00:00:00+00:00,West Melbourne (Industrial),6
2017-01-01T00:00:00+00:00,West Melbourne (Residential),82
2018-01-01T00:00:00+00:00,Carlton,380
2018-01-01T00:00:00+00:00,Docklands,347
2018-01-01T00:00:00+00:00,East Melbourne,83
2018-01-01T00:00:00+00:00,Kensington,68
2018-01-01T00:00:00+00:00,Melbourne (CBD),1960
2018-01-01T00:00:00+00:00,Melbourne (Remainder),82
2018-01-01T00:00:00+00:00,North Melbourne,161
2018-01-01T00:00:00+00:00,Parkville,74
2018-01-01T00:00:00+00:00,Port Melbourne,36
2018-01-01T00:00:00+00:00,South Yarra,16
2018-01-01T00:00:00+00:00,Southbank,242
2018-01-01T00:00:00+00:00,West Melbourne (Industrial),5
2018-01-01T00:00:00+00:00,West Melbourne (Residential),93
2019-01-01T00:00:00+00:00,Carlton,380
2019-01-01T00:00:00+00:00,Docklands,347
2019-01-01T00:00:00+00:00,East Melbourne,83
2019-01-01T00:00:00+00:00,Kensington,64
2019-01-01T00:00:00+00:00,Melbourne (CBD),1943
2019-01-01T00:00:00+00:00,Melbourne (Remainder),82
2019-01-01T00:00:00+00:00,North Melbourne,161
2019-01-01T00:00:00+00:00,Parkville,74
2019-01-01T00:00:00+00:00,Port Melbourne,36
2019-01-01T00:00:00+00:00,South Yarra,17
2019-01-01T00:00:00+00:00,Southbank,250
2019-01-01T00:00:00+00:00,West Melbourne (Industrial),5
2019-01-01T00:00:00+00:00,West Melbourne (Residential),93
2020-01-01T00:00:00+00:00,Carlton,352
2020-01-01T00:00:00+00:00,Docklands,362
2020-01-01T00:00:00+00:00,East Melbourne,76
2020-01-01T00:00:00+00:00,Kensington,64
2020-01-01T00:00:00+00:00,Melbourne (CBD),1741
2020-01-01T00:00:00+00:00,Melbourne (Remainder),77
2020-01-01T00:00:00+00:00,North Melbourne,133
2020-01-01T00:00:00+00:00,Parkville,62
2020-01-01T00:00:00+00:00,Port Melbourne,36
2020-01-01T00:00:00+00:00,South Yarra,17
2020-01-01T00:00:00+00:00,Southbank,238
2020-01-01T00:00:00+00:00,West Melbourne (Industrial),4
2020-01-01T00:00:00+00:00,West Melbourne (Residential),80
2021-01-01T00:00:00+00:00,Carlton,352
2021-01-01T00:00:00+00:00,Docklands,326
2021-01-01T00:00:00+00:00,East Melbourne,76
2021-01-01T00:00:00+00:00,Kensington,55
2021-01-01T00:00:00+00:00,Melbourne (CBD),1734
2021-01-01T00:00:00+00:00,Melbourne (Remainder),79
2021-01-01T00:00:00+00:00,North Melbourne,133
2021-01-01T00:00:00+00:00,Parkville,62
