census_year,clue_small_area,Total_cafe,accommodation_and_food_services,administrative_and_support_services,agriculture_forestry_and_fishing,arts_and_recreation_services,construction,education_and_training,electricity_gas_water_and_waste_services,financial_and_insurance_services,health_care_and_social_assistance,information_media_and_telecommunications,manufacturing,mining,other_services,professional_scientific_and_technical_services,public_administration_and_safety,rental_hiring_and_real_estate_services,retail_trade,transport_postal_and_warehousing,wholesale_trade,total_establishments_in_block,Total_Dwel,New_food_services
2012,North Melbourne,137,163,55,1,70,69,39,32,27,127,49,88,0,224,228,20,34,171,48,107,1552,489.0,0
2012,Parkville,49,85,6,0,36,1,22,8,10,79,3,8,0,22,20,4,1,34,6,0,345,141.0,0
2012,Port Melbourne,29,16,13,2,11,43,5,6,10,2,13,76,0,13,74,6,11,21,35,72,429,0.0,8
2012,South Yarra,17,16,2,0,5,0,14,5,0,3,1,0,0,10,0,1,0,9,0,0,66,0.0,5
2012,Southbank,170,148,26,3,32,24,15,12,27,23,21,15,5,47,127,7,31,217,13,19,812,700.0,76
2012,West Melbourne (Industrial),9,8,0,1,12,5,1,12,1,0,4,11,0,5,4,4,11,9,61,223,372,0.0,0
2012,West Melbourne (Residential),84,77,16,0,27,17,29,8,21,15,13,20,0,71,129,7,9,55,28,43,585,294.0,0
2013,Carlton,346,253,28,2,42,17,86,14,34,100,16,30,0,149,142,20,20,152,4,27,1136,84.0,113
2013,Docklands,246,176,37,0,38,27,11,11,27,20,25,15,4,67,108,15,45,264,37,14,941,594.0,48
2013,East Melbourne,79,71,16,0,40,9,12,11,23,227,5,5,1,52,89,19,7,17,2,6,612,0.0,54
2013,Kensington,63,44,7,4,85,26,9,11,4,25,11,43,0,46,41,5,16,48,22,31,478,134.0,0
2013,Melbourne (CBD),1839,1616,494,5,153,97,278,63,722,400,154,264,45,822,1830,165,201,1553,106,114,9082,1663.0,0
2013,Melbourne (Remainder),75,42,22,0,59,9,17,3,40,66,11,13,1,38,77,7,11,17,7,9,449,0.0,6
2013,North Melbourne,137,114,48,2,53,48,31,28,23,106,32,66,0,159,162,15,24,110,36,80,1137,166.0,44
2013,Parkville,49,60,3,0,33,1,22,8,7,79,2,6,0,21,20,4,2,24,5,0,297,204.0,0
2013,Port Melbourne,31,24,15,2,12,62,8,8,14,5,17,93,0,15,74,10,15,28,52,81,535,0.0,0
2013,South Yarra,17,21,3,0,11,0,22,8,0,5,1,0,0,12,0,2,0,10,0,0,95,0.0,0
2013,Southbank,224,224,29,4,51,40,20,23,34,26,24,19,6,54,150,10,39,249,15,24,1041,2530.0,0
2013,West Melbourne (Industrial),9,8,0,1,12,5,1,12,1,0,4,11,0,5,4,4,11,9,61,223,372,0.0,1
2013,West Melbourne (Residential),84,61,14,0,18,13,21,8,18,14,12,19,0,56,109,6,6,42,21,35,473,344.0,0
2014,Carlton,363,366,37,2,56,22,106,16,57,136,21,33,0,203,195,22,29,211,5,28,1545,2799.0,0
2014,Docklands,308,224,35,0,42,18,12,9,31,19,20,20,2,73,121,8,49,233,36,20,972,523.0,9
2014,East Melbourne,80,125,21,0,66,9,17,11,17,392,7,7,2,83,98,37,17,24,3,4,940,0.0,0
2014,Kensington,63,44,6,3,85,12,6,8,2,26,12,31,0,49,29,2,15,43,18,18,409,52.0,20
